TimeElapsed(s),GazeX,GazeY,PlayerScore
9.449285,1687.08,767.2144,0
9.480975,1680.048,770.6714,0
9.513546,1568.779,779.596,0
9.547292,1368.231,787.9534,0
9.582014,1264.705,784.0421,0
9.616216,1250.563,788.9944,0
9.64765,1216.5,784.6588,0
9.683535,1203.362,791.7274,0
9.716603,1185.76,800.1014,0
9.748589,1165.179,801.5486,0
9.783281,1147.471,798.9653,0
9.814202,1091.337,793.2112,0
9.851349,856.8726,803.3448,0
9.885506,651.8281,816.2943,0
9.915257,632.0755,813.264,0
9.951755,513.4387,827.2057,0
9.983587,294.8115,821.7928,0
10.01567,178.3387,815.463,0
10.0486,179.1387,819.8306,0
10.08003,187.6,815.6879,0
10.11923,185.349,822.7413,0
10.14721,178.8114,833.9556,0
10.18438,171.0778,841.6711,0
10.21604,164.0782,848.837,0
10.24811,158.8795,847.5936,0
10.28103,153.2004,845.6432,0
10.31477,154.3055,847.2827,0
10.34993,147.8649,865.5711,0
10.38124,145.9231,884.6175,0
10.41625,161.4214,871.2789,0
10.44891,164.1789,849.9457,0
10.4803,158.6811,843.7891,0
10.51612,157.7885,836.2377,0
10.55142,140.7904,832.5819,0
10.58288,133.314,814.345,0
10.61837,138.0234,775.9991,0
10.6502,140.1871,773.722,0
10.68195,133.7905,777.697,0
10.71398,123.8971,786.0351,0
10.75145,125.073,789.9497,0
10.78162,137.9724,791.4088,0
10.81403,147.606,814.0376,0
10.84885,136.2839,834.1031,0
10.88402,129.0969,821.4247,0
10.91929,127.2708,798.6451,0
10.9473,237.4574,638.1603,0
10.98003,398.5302,426.6404,0
11.01553,442.4951,359.7411,0
11.04688,440.1519,346.3026,0
11.08476,436.1638,371.6919,0
11.11572,426.517,407.1884,0
11.15166,415.2099,411.0277,0
11.18156,405.2781,413.2979,0
11.21682,394.5771,390.9382,0
11.24787,376.2921,363.7095,0
11.28502,329.9608,365.694,0
11.31489,282.7741,277.0651,0
11.35132,253.9826,217.9686,0
11.38408,253.649,298.5576,0
11.41495,97.85514,282.7927,0
11.44874,-174.525,248.7709,0
11.48383,-174.525,248.7709,0
11.51566,-174.525,248.7709,0
11.54759,359.4956,594.9372,0
11.58282,253.8365,467.4992,0
11.61757,253.8365,467.4992,0
11.64871,253.8365,467.4992,0
11.68418,253.8365,467.4992,0
11.71599,253.8365,467.4992,0
11.74672,263.5991,588.2645,0
11.78287,174.405,687.7245,0
11.81466,192.5047,633.5324,0
11.84759,197.1539,570.0374,0
11.8838,217.2995,525.2258,0
11.91607,210.585,513.1005,0
11.95036,259.3763,525.4009,0
11.98231,279.952,504.627,0
12.01785,252.8124,474.6571,0
12.04804,829.1819,435.3137,0
12.08123,1492.178,379.7629,0
12.11515,1592.632,362.597,0
12.14722,1590.24,363.3658,0
12.18717,1580.602,373.9999,0
12.21611,1582.369,382.7067,0
12.25012,1594.044,398.7518,0
12.28001,1607.495,408.5116,0
12.31387,1612.259,410.2273,0
12.3504,1599.627,409.8922,0
12.38551,1606.656,389.2769,0
12.41492,1624.562,357.9625,0
12.4494,1600.781,312.5927,1
12.48027,1543.845,275.9165,1
12.51499,1520.496,235.391,1
12.55131,1616.845,115.5322,1
12.58458,1560.112,69.35883,1
12.61779,1567.145,10.61582,1
12.65195,1634.903,-68.29758,1
12.68069,1691.361,-136.4914,1
12.71686,1233.548,-111.674,1
12.75018,962.1706,-110.6321,1
12.78321,1119.873,-186.2595,1
12.81618,996.766,-238.5108,1
12.84935,579.8195,-295.4792,1
12.88097,594.4604,-336.5331,1
12.9158,740.6382,-361.6317,1
12.9487,861.6636,-366.3041,1
12.983,844.9805,-375.9594,1
13.0149,830.759,-385.6921,1
13.04918,810.7902,-398.6052,1
13.08107,808.3507,-414.5011,1
13.11456,803.9607,-419.1353,1
13.14714,793.9535,-405.2596,1
13.18344,810.7142,-375.792,1
13.21752,660.1078,-606.1827,1
13.24672,613.2459,-1100.64,1
